#FILE	NUM_FOUND	acpXL	actA	bsh	cgs	clpC	clpE	clpP	fabZ	fbpA	gtcA	hly	hpt	htrB	iap/cwhA	inlA	inlB	inlC	inlF	inlK	kdsA	kdsB	lap	lapB	llsA	llsB	llsD	llsG	llsH	llsP	llsX	llsY	lntA	lpeA	lplA1	lspA	mpl	oatA	pdgA	pgm	plcA	plcB	prfA	prsA2	vip
amr/SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	29	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.32	100.00	100.00	.	97.10	99.63	.	100.00	.	100.00	.	.	100.00	100.00	.	.	.	87.84	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	88.52	100.00	100.00
amr/SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	34	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	86.64	.	.	100.00	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	32	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	82.03	.	.	100.00	100.00	100.00	.	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013257_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	27	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	.	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	.	.	.	.	.	.	.	80.83	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	.	100.00	100.00
amr/SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	27	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	.	99.37	100.00	.	97.10	99.63	.	.	.	83.08	.	.	100.00	100.00	100.00	82.88	.	.	.	.	.	.	100.00	100.00	98.59	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	27	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	.	100.00	100.00	.	97.10	99.63;99.63	98.68;80.82	100.00	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	29	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	.	100.00	100.00	.	97.10	99.63	99.89	100.00	.	85.14	.	.	100.00	100.00	.	.	.	84.68	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	34	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	100.00	.	80.37	100.00	82.80	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	28	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	86.53	100.00	100.00	.	97.10	99.63	87.53	100.00	.	100.00	.	.	100.00	100.00	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013263_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	31	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	100.00	.	.	.	.	.	100.00	95.97	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	35	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	80.14	100.00	92.80	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	37	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013266_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	80.61	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	33	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	.	100.00	99.96	100.00	.	.	100.00	100.00	100.00	92.24	.	100.00	86.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	37	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	34	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	100.00	85.27	89.73	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	30	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	.	.	85.19	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	81.48	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	35	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	100.00	85.39	100.00	100.00	100.00	.	100.00	87.04	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013273_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	33	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	.	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	100.00	93.38	100.00	100.00	81.07	98.13	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	34	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	35	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	31	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	88.06	100.00	.	100.00	.	.	100.00	100.00	100.00	.	.	.	94.53	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	80.25	100.00	100.00	100.00	80.61	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	30	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	.	.	.	.	.	.	.	100.00	100.00	100.00	83.94	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013282_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	35	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	37	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	94.41	100.00	100.00	100.00	100.00	82.70	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	35	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	87.53	.	.	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	83.84	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	35	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	96.58	.	100.00	92.80	.	100.00	81.48	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	35	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	91.07	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	33	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	100.00	.	.	100.00	100.00	.	100.00	98.04	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	84.13	100.00	100.00	100.00	.	100.00	87.58	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013290_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	32	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	100.00	.	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	100.00	81.46	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	26	.	99.90	100.00	.	100.00	.	100.00	.	100.00	.	100.00	100.00	.	97.10	99.63	99.89	100.00	83.05	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	83.89	100.00	100.00
amr/SRR27013293_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	33	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	85.31	.	.	100.00	100.00	100.00	.	.	100.00	.	.	81.13	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
